"Campaign Name",Day,"Ad Set Name","Ad Name","Impression Device","Delivery Status","Delivery Level",Reach,Impressions,"Amount Spent (BRL)",Frequency,"Unique Link Clicks","Link Clicks","Page Engagement","3-Second Video Views","Video Average Watch Time","Clicks (All)","Leads (Form)","Page Likes","Post Engagement",Objective,"Reporting Starts","Reporting Ends"
"[remo] Event Responses",2019-02-01,"[remo] Event Responses | Stand-up Grajaú","[remo] Stand-up Grajaú | Comediando 01.02.2019",android_smartphone,inactive,ad,1506,1519,16.19,1.0086321381142,15,15,20,,,44,,,20,EVENT_RESPONSES,2019-02-01,2019-02-01
"[remo] Event Responses",2019-04-11,"[remo] Event Responses | Likers (Aniversário)","[remo] Likers | Aniversário",android_smartphone,inactive,ad,326,725,12.4,2.2239263803681,5,5,8,,,13,,,8,EVENT_RESPONSES,2019-04-11,2019-04-11
"[remo] Event Responses",2019-04-12,"[remo] Event Responses | Likers (Aniversário)","[remo] Likers | Aniversário",android_smartphone,inactive,ad,334,755,11.89,2.2604790419162,1,1,2,,,4,,,2,EVENT_RESPONSES,2019-04-12,2019-04-12
"[remo] Reach",2019-04-11,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3662,3741,9.731682322801,1.0215729109776,2,2,171,169,1,7,,,171,REACH,2019-04-11,2019-04-11
"[remo] Reach",2019-04-13,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3285,3339,9.45,1.0164383561644,4,4,173,169,1,6,,,173,REACH,2019-04-13,2019-04-13
"[remo] Reach",2019-04-08,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3359,3430,9.4,1.0211372432272,8,8,177,169,1,13,,,177,REACH,2019-04-08,2019-04-08
"[remo] Reach",2019-04-09,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3660,3730,9.26,1.0191256830601,5,5,201,195,1,14,,,201,REACH,2019-04-09,2019-04-09
"[remo] Reach",2019-04-12,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3414,3497,9.24201208981,1.0243116578793,6,6,155,148,1,8,,,155,REACH,2019-04-12,2019-04-12
"[remo] Reach",2019-04-10,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3279,3348,9.0622079037801,1.0210430009149,2,2,153,151,1,10,,,153,REACH,2019-04-10,2019-04-10
"[remo] Event Responses",2019-04-13,"[remo] Event Responses | Likers (Aniversário)","[remo] Likers | Aniversário",android_smartphone,inactive,ad,280,482,8.71,1.7214285714286,2,2,5,,,9,,,5,EVENT_RESPONSES,2019-04-13,2019-04-13
"[remo] Reach",2019-04-18,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3162,3237,8.45,1.0237191650854,4,4,147,140,1,12,,,147,REACH,2019-04-18,2019-04-18
"[remo] Reach",2019-04-27,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,2993,3059,8.35,1.0220514533912,4,4,131,127,1,11,,,132,REACH,2019-04-27,2019-04-27
"[remo] Reach",2019-03-08,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3743,3802,8.34,1.0157627571467,4,4,154,150,1,18,,,154,REACH,2019-03-08,2019-03-08
"[remo] Reach",2019-04-30,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3119,3205,8.31,1.0275729400449,3,3,144,138,1,13,,,144,REACH,2019-04-30,2019-04-30
"[remo] Reach",2019-04-25,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3394,3462,8.31,1.0200353565115,3,3,144,140,1,7,,,144,REACH,2019-04-25,2019-04-25
"[remo] Reach",2019-02-20,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3249,3302,8.27,1.0163127116036,4,4,165,159,1,10,,,165,REACH,2019-02-20,2019-02-20
"[remo] Reach",2019-02-23,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3123,3157,8.24,1.0108869676593,4,4,156,150,1,10,,,156,REACH,2019-02-23,2019-02-23
"[remo] Reach",2019-02-28,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3020,3066,8.24,1.0152317880795,1,1,138,137,1,9,,,138,REACH,2019-02-28,2019-02-28
"[remo] Reach",2019-02-19,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3289,3330,8.23,1.0124657950745,4,4,194,186,1,16,,,194,REACH,2019-02-19,2019-02-19
"[remo] Reach",2019-04-16,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3193,3285,8.22,1.0288130284998,3,3,154,151,1,4,,,154,REACH,2019-04-16,2019-04-16
"[remo] Reach",2019-04-24,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3319,3442,8.17,1.0370593552275,3,3,121,118,1,13,,,121,REACH,2019-04-24,2019-04-24
"[remo] Reach",2019-04-19,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3265,3331,8.1318924302789,1.0202143950995,1,1,133,131,1,11,,,133,REACH,2019-04-19,2019-04-19
"[remo] Reach",2019-03-01,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3490,3517,8.13,1.0077363896848,2,2,193,190,1,5,,,193,REACH,2019-03-01,2019-03-01
"[remo] Reach",2019-03-02,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3524,3571,8.12,1.0133371169126,,,189,185,1,11,,,189,REACH,2019-03-02,2019-03-02
"[remo] Reach",2019-04-15,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3362,3442,8.1,1.0237953599048,5,5,168,161,1,17,,,168,REACH,2019-04-15,2019-04-15
"[remo] Reach",2019-03-10,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3674,3741,8.1,1.0182362547632,6,6,172,164,1,12,,,172,REACH,2019-03-10,2019-03-10
"[remo] Reach",2019-03-09,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3699,3744,8.1,1.0121654501217,3,3,181,175,2,9,,,181,REACH,2019-03-09,2019-03-09
"[remo] Reach",2019-02-27,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3004,3059,8.09,1.0183089214381,,,132,131,1,11,,,132,REACH,2019-02-27,2019-02-27
"[remo] Reach",2019-02-24,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3444,3485,8.04,1.0119047619048,7,7,181,172,1,20,,,181,REACH,2019-02-24,2019-02-24
"[remo] Reach",2019-04-21,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3607,3753,8.03,1.0404768505683,3,3,174,170,1,8,,,174,REACH,2019-04-21,2019-04-21
"[remo] Reach",2019-02-21,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3113,3148,8.03,1.0112431737873,5,5,157,152,1,14,,,157,REACH,2019-02-21,2019-02-21
"[remo] Reach",2019-04-14,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3093,3181,8.03,1.0284513417394,3,3,182,179,1,9,,,182,REACH,2019-04-14,2019-04-14
"[remo] Reach",2019-04-17,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3175,3240,7.99,1.0204724409449,9,9,151,139,1,14,,,151,REACH,2019-04-17,2019-04-17
"[remo] Reach",2019-04-22,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3596,3699,7.97,1.0286429365962,7,7,169,162,1,13,,,169,REACH,2019-04-22,2019-04-22
"[remo] Reach",2019-03-11,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3648,3715,7.93,1.0183662280702,2,2,163,161,1,12,,,163,REACH,2019-03-11,2019-03-11
"[remo] Reach",2019-02-22,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3184,3238,7.92,1.016959798995,3,3,152,149,1,14,,,152,REACH,2019-02-22,2019-02-22
"[remo] Reach",2019-04-23,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3482,3602,7.92,1.0344629523262,9,9,176,167,1,18,,,176,REACH,2019-04-23,2019-04-23
"[remo] Reach",2019-02-18,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3753,3807,7.91,1.0143884892086,5,5,211,205,1,17,,,211,REACH,2019-02-18,2019-02-18
"[remo] Reach",2019-04-28,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3160,3240,7.91,1.0253164556962,3,3,151,148,1,15,,,151,REACH,2019-04-28,2019-04-28
"[remo] Reach",2019-02-16,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,4243,4243,7.86,1,1,1,239,235,2,15,,,239,REACH,2019-02-16,2019-02-16
"[remo] Reach",2019-02-26,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,3259,3296,7.85,1.0113531758208,1,1,132,129,1,6,,,132,REACH,2019-02-26,2019-02-26
"[remo] Reach",2019-03-04,"[remo] Reach | 101","[remo] 101 (not expanded) | Geral",android_smartphone,not_delivering,ad,4091,4153,7.83,1.0151552187729,1,1,210,209,1,10,,,211,REACH,2019-03-04,2019-03-04
